13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:12 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:16 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:17 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:17 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:18 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:19 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:19 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:21 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:21 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:21 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:21 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:21 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:21 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:23 [main] DEBUG at.bookworm.crawler.FeedCrawler - fetched all feeds
13:52:23 [main] DEBUG at.bookworm.crawler.FeedCrawler - Waiting
13:54:22 [main] DEBUG at.bookworm.crawler.FeedCrawler - fetching feeds...
13:54:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:1
13:54:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:54:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:22 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:23 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:24 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:24 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:25 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:25 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:25 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:54:26 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
